Subcategory,Audio Name,Questions,Concerns,Emotions,Preferences
All,1680943200.980247.mp3,"['How much approval will be there?', 'How will be the registrations?', 'How much is the rate?', 'So monthly EMI from our pocket till possession, how much will it be?']",['Trouble in understanding the cost and rates of the property'],"['Curious about property in Cochlear area', 'Interest in understanding the financial aspects and future projections of the property']","['Interested in the details of the property cost, rates, and financial terms']"
All,23d861525cc3cc4f89e0f53dfef3177k.mp3,"['Can you give me details about the new project launch?', 'Can you tell me about budgets that are not completely out there?']",['Need more time to think before making a decision.'],['The customer needs more time to consider the offer.'],['Customer prefers to take time to think before making a decision.']
All,d685bc133e1b1c900a48e141d8331779.mp3,['amenities only back-to-Back Parking Or side by Side parking?'],"['Confusion regarding the amenities and negotiation options.', 'Understanding the payment process and offers for under-construction projects.', 'Negotiating on the pricing and possible discounts.', 'Clarification on the available towers and their specific features.']",['Curious about the premium towers and their features.'],"['Interest in specific towers and their features.', 'Preference for understanding the payment process and offers available.', 'Preference for visiting the site location before making a decision.']"
All,1687081375.596328.mp3,['Are the upcoming towers also of the same sizes?'],['Concern about the sizes of upcoming towers and availability of different sizes'],"['Customer seems interested and engaged in the conversation, asking detailed questions and seeking clarifications', 'Customer appears to be attentive and focused on the details provided']",['Customer shows interest in understanding the finance plan and payment schedule clearly']
All,7b4f0b6d01330b2f5e8514b064f917ae.mp3,['Are there any specific amenities provided?'],['Concerns about the interest paid during the under-construction period'],['Curious about the location and surrounding amenities'],['Looking for a negotiable price and considering selling the current flat']
All,d4624682fcaea9357a80c08d7a1217b2.mp3,"['How many floors are those?', 'What about Amazon income? Do you have any idea for that?']","[""Seeking details about Amazon's income for reference""]","['The customer seems to be inquisitive about financial aspects and income details for reference', 'Expresses willingness to visit the site and make decisions based on the information provided']","[""Interested in knowing about Amazon's income for comparison""]"
All,f222414b3ba5e3e25e54cd1403f517c6.mp3,['Do you have any idea about this project and its details?'],['Difficulty in scheduling a call due to different locations.'],['Polite and respectful: Customer maintained a polite and respectful tone throughout the conversation.'],['Preference to communicate via WhatsApp for sharing details.']
All,2506b0f916570da3fae5ac2daf1b1795.mp3,['Can you please send me the cost sheet and availability for each facing apartment?'],['Concern about the position and deadline for the property'],['There is a sense of urgency and concern about the position and deadlines'],['Prefer clear communication and details regarding the property']
All,2eb59febc7943a2436d0c147005d178b.mp3,"['How will fit without seeing, how will get an idea of what are going to be?']",['Concern about the readiness of the sample flat'],"['Interested in the pricing details and negotiation possibilities', 'Confusion about the readiness of the sample flat and future fittings']","['Interest in understanding the project locations and layout details', 'Preference for clarity on the pricing and charges before making a decision']"
All,1682753608.1338671.mp3,['Can you tell me about Abbed and Wednesday?'],"['Interest rates and reimbursement details', 'Cost details and negotiability', 'Clarity on final pricing and negotiations']",['There is a sense of curiosity and eagerness to learn more about the offerings and pricing'],"['Desire for detailed information about the project features and amenities', 'Seeking clarity on pricing and negotiation possibilities']"
All,54815578debf2aa17153ca4e0a8f17b3.mp3,['How many towers are there in the project?'],"['Concern about the availability of seats on different floors.', 'Concern about the size and features of the bedrooms.']","[""There is a sense of curiosity and interest in the customer's tone while discussing the amenities and offers provided.""]","['The customer shows interest in the features and sizes of the bedrooms available in the apartment options.', 'The customer may prefer apartments with specific sizes and balcony features as per the details provided.']"
All,1682323064.107231.mp3,"['Is there room for negotiation on the pricing of the property?', 'Can you visit the site office this weekend or in a weekend?']",['Concern about the location and aspects of the property'],"['The customer is thoughtful and analytical in considering the investment perspective', 'The customer seems satisfied with the information provided by the sales manager']",['Preference for a property with outdoor living features']
All,1685336846.21197.mp3,['What are the amenities available here?'],"['Details regarding the funding and loan options', 'Understanding the layout and amenities of the project']",['Interest and engagement in discussing funding and loan options'],"['Preference for clear explanations and examples for better understanding', 'Interest in funding options and loan details']"
All,b227196f1ef203f0138b2558d8af17cf.mp3,['Are you looking to buy any 3BHK apartments?'],['Need complete details about the project'],"['Confused about the location and details of the project', 'Concerned about the size and details of the project', 'Excited about planning to take a loan and visit the site', 'Satisfied with the response and willing to visit the site']",['Interested in visiting the site and meeting the sales team']
